tag,subtag,full_key,occurences,used_by_buildings
playground,theme,playground:theme,4,False
max_age,,max_age,1,False
min_age,,min_age,1,False
name,fr,name:fr,1,False
capacity,disabled,capacity:disabled,1,False
footway,,footway,5,False
ref,FR:DREAL,ref:FR:DREAL,1,False
seuil,FR:DREAL,seuil:FR:DREAL,1,False
pipeline,,pipeline,2,False
utility,,utility,2,False
ownership,,ownership,4,False
type,,type,7,True
